,USB Connect,,,,,,,,,,,,,,,,,,,,,,,,,USB Disconnect,,,,,,,,,,,,,,,,,,,,,,,,,filecopy,,,,,,,,,,,,,,,,,,,,,,,,,logon,,,,,,,,,,,,,,,,,,,,,,,,,logoff,,,,,,,,,,,,,,,,,,,,,,,
KAT0489,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,KAT0489,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,KAT0489,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,KAT0489,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,KAT0489,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
CCH0685,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,CCH0685,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,CCH0685,0,0,0,0,0,0,0,0,8,0,0,1,0,0,10,0,0,1,0,0,0,0,0,0,CCH0685,0,0,0,0,0,0,2,0,0,1,0,0,2,2,0,1,1,0,1,1,0,1,1,0,CCH0685,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,2,1,1,1,0,0
DMM0623,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DMM0623,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DMM0623,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DMM0623,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,DMM0623,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
CPG0322,0,0,0,0,0,0,2,2,0,1,1,0,2,2,2,1,1,1,0,0,0,0,0,0,CPG0322,0,0,0,0,0,0,2,2,0,1,1,0,2,2,2,1,1,1,0,0,0,0,0,0,CPG0322,0,0,0,0,0,0,11,11,7,2,2,1,9,9,9,4,4,4,0,0,0,0,0,0,CPG0322,0,0,0,0,0,0,3,2,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,CPG0322,0,0,0,0,0,0,2,2,1,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0
OBH0499,0,0,0,0,0,0,9,9,7,3,3,2,10,10,10,5,5,5,3,3,3,1,1,1,OBH0499,0,0,0,0,0,0,9,9,7,3,3,2,10,10,10,5,5,5,3,3,3,1,1,1,OBH0499,0,0,0,0,0,0,6,6,2,1,1,0,6,6,6,1,1,1,3,3,3,3,3,3,OBH0499,1,1,1,1,1,1,3,2,1,1,0,0,2,2,1,1,1,0,1,1,1,1,1,1,OBH0499,1,1,1,1,1,1,2,2,1,1,1,0,2,1,0,1,0,0,1,1,1,1,1,1
NAH0503,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NAH0503,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NAH0503,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NAH0503,1,1,1,1,1,1,2,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,NAH0503,1,1,1,1,1,1,1,1,0,1,1,0,2,1,0,1,0,0,1,1,1,1,1,1
CWB0065,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,CWB0065,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,CWB0065,0,0,0,0,0,0,0,0,8,0,0,1,0,0,10,0,0,1,0,0,0,0,0,0,CWB0065,0,0,0,0,0,0,3,1,1,2,1,1,2,2,0,1,1,0,0,0,1,0,0,1,CWB0065,0,0,0,0,0,0,1,1,0,1,1,0,2,1,1,1,0,0,0,1,1,0,1,1
ATP0662,0,0,0,0,0,0,2,2,0,1,1,0,3,3,1,1,1,0,2,2,2,1,1,1,ATP0662,0,0,0,0,0,0,2,2,0,1,1,0,3,3,1,1,1,0,2,2,2,1,1,1,ATP0662,0,0,0,0,0,0,13,13,6.25,1,1,0,14,14,7,3,3,2,8,8,8,1,1,1,ATP0662,1,1,1,1,1,1,3,2,0.75,1,0,0,2,1.5,0.75,1,0.5,0,1,1,1,1,1,1,ATP0662,1,1,1,1,1,1,2,2,1,1,1,0,1,0,0.25,1,0,0,2,2,1,1,1,0
DPM0423,0,0,0,0,0,0,5,3,0.5,1,0,0,4,2,0.5,2,1,0.5,0,0,0,0,0,0,DPM0423,0,0,0,0,0,0,5,3,0.5,1,0,0,5,3,0,2,1,0.5,1,1,1,1,1,1,DPM0423,0,0,0,0,0,0,11,6,2,1,0,1.5,11,4,1,1,0,0,1,1,1,1,1,1,DPM0423,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,DPM0423,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,0,0,2,2,1.5,1,1,0.5
JMB0308,1,1,1,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,5,5,5,5,5,5,JMB0308,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,5,5,5,5,5,5,JMB0308,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,JMB0308,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,JMB0308,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1
IRM0931,0,0,0,0,0,0,3,3,1.75,1,1,0,4,4,3.5,1,1,0.75,1,1,1,1,1,1,IRM0931,0,0,0,0,0,0,3,3,1.75,1,1,0,4,4,3.5,1,1,0.75,1,1,0.75,1,1,0.75,IRM0931,0,0,0,0,0,0,14,14,8.25,5,5,4,19,19,17.75,2,2,1.75,4,4,4,4,4,4,IRM0931,1,1,1,1,1,1,3,2,1,2,1,1,2,2,1,1,1,0,1,1,0,1,1,0,IRM0931,1,1,1,1,1,1,1,1,0,1,1,0,2,1,1,1,0,0,1,0,0.25,1,0,0
FQA0854,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FQA0854,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FQA0854,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FQA0854,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,FQA0854,0,0,0,0,0,0,1,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0
HJB0742,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3,3,3,3,3,3,HJB0742,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3,3,3,3,3,3,HJB0742,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,3,3,3,3,3,3,HJB0742,1,1,1,1,1,1,3,2,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,HJB0742,1,1,1,1,1,1,1,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0
KKS0119,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,KKS0119,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,KKS0119,0,0,0,0,0,0,0,0,6.75,0,0,1,0,0,7,0,0,1,0,0,0,0,0,0,KKS0119,0,0,0,0,0,0,2,1,0.25,1,0,0,1,0.5,0.25,1,0.5,0,0,0,0,0,0,0,KKS0119,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.25,1,0,0,0,0,1,0,0,1
DBB0384,0,0,0,0,0,0,9,9,9,4,4,4,9,9,9,4,4,4,0,0,0,0,0,0,DBB0384,0,0,0,0,0,0,9,9,9,4,4,4,9,9,9,4,4,4,0,0,0,0,0,0,DBB0384,0,0,0,0,0,0,27,27,27,10,10,10,27,27,27,13,13,13,0,0,0,0,0,0,DBB0384,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,DBB0384,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
RHL0992,0,0,0,0,0,0,4,4,0.5,1,1,0,3,3,0.5,1,1,0,3,3,0.5,1,1,0,RHL0992,0,0,0,0,0,0,4,4,0.5,1,1,0,3,3,0.5,1,1,0,3,3,0.5,1,1,0,RHL0992,0,0,0,0,0,0,5,5,0,1,1,0,5,5,1.5,1,1,0,4,4,0.5,1,1,0,RHL0992,0,0,0,0,0,0,2,0,0,1,0,0,2,1,0,1,0,0,1,1,0,1,1,0,RHL0992,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,2,1,0,1,0,0
VMJ0147,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,VMJ0147,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,VMJ0147,0,0,0,0,0,0,0,0,6.75,0,0,1,0,0,7,0,0,1,0,0,0,0,0,0,VMJ0147,0,0,0,0,0,0,1,0,1.25,1,0,0,0,0.5,1.25,0,0.5,1,0,0,0,0,0,0,VMJ0147,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1.25,0,1,1,1,1,0,1,1,0
HBO0413,0,0,0,0,0,0,4,4,2.5,1,1,0,6,6,4.5,1,1,0.5,1,1,1,1,1,1,HBO0413,0,0,0,0,0,0,3,3,1.5,1,1,0,6,6,4.5,1,1,0.5,2,2,2,1,1,1,HBO0413,0,0,0,0,0,0,7,7,3.5,1,1,0.5,8,8,4,1,1,0.5,0,0,0,0,0,0,HBO0413,0,0,0,0,0,0,1,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HBO0413,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
DZC0228,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,DZC0228,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,DZC0228,0,0,0,0,0,0,0,0,7.75,0,0,1,0,0,8,0,0,1.75,0,0,0,0,0,0,DZC0228,0,0,0.75,0,0,0.75,1,1,2,1,0,0,0,1,2,0,1,1,0,0,0.75,0,0,0.75,DZC0228,0,0,0.75,0,0,0.75,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0.75,1,0,0
TEB0251,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,TEB0251,0,0,0,0,0,0,0,0,1.5,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,TEB0251,0,0,0,0,0,0,0,0,6.5,0,0,1,0,0,7.5,0,0,1,0,0,0,0,0,0,TEB0251,0,0,0,0,0,0,2,0,0,1,0,0,2,1,0.5,1,0,0,0,0,1,0,0,1,TEB0251,0,0,0,0,0,0,1,1,0,1,1,0,2,1,1,1,0,0,0,1,1,0,1,1
DOP0562,0,0,0,0,0,0,0,0,1.25,0,0,1,0,0,0.5,0,0,0.25,0,0,0,0,0,0,DOP0562,0,0,0,0,0,0,0,0,1.25,0,0,1,0,0,0.5,0,0,0.25,0,0,0.25,0,0,0.25,DOP0562,0,0,0,0,0,0,0,0,5.75,0,0,1,0,0,1.25,0,0,0.25,0,0,0,0,0,0,DOP0562,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,DOP0562,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0.25,1,0,0
UAD0771,0,0,0,0,0,0,4,4,4,1,1,1,4,4,4,1,1,1,0,0,0,0,0,0,UAD0771,0,0,0,0,0,0,4,4,4,1,1,1,4,4,4,1,1,1,0,0,0,0,0,0,UAD0771,0,0,0,0,0,0,14,14,14,1,1,1,15,15,15,3,3,3,0,0,0,0,0,0,UAD0771,0,0,0,0,0,0,3,2,1,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,UAD0771,0,0,0,0,0,0,1,1,0,1,1,0,2,1,1,1,0,0,0,1,1,0,1,1
LCB0664,0,0,0,0,0,0,9,9,7,4,4,3,9,9,7,5,5,4,0,0,0,0,0,0,LCB0664,0,0,0,0,0,0,9,9,7,4,4,3,9,9,7,5,5,4,0,0,0,0,0,0,LCB0664,0,0,0,0,0,0,6,6,0.75,1,1,0,6,6,1,1,1,0,0,0,0,0,0,0,LCB0664,0,0,0,0,0,0,3,2,0.75,1,0,0,2,1.5,0.75,1,0.5,0,0,0,0,0,0,0,LCB0664,0,0,0,0,0,0,1,1,0,1,1,0,2,1,0.75,1,0,0,0,0,1,0,0,1
EZH0736,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,EZH0736,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,EZH0736,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,EZH0736,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,EZH0736,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
JCG0316,0,0,0,0,0,0,3,3,1,1,1,0,3,3,3,1,1,1,0,0,0,0,0,0,JCG0316,0,0,0,0,0,0,3,3,1,1,1,0,3,3,3,1,1,1,0,0,0,0,0,0,JCG0316,0,0,0,0,0,0,13,13,9,1,1,0,15,15,15,3,3,3,0,0,0,0,0,0,JCG0316,0,0,0,0,0,0,3,2,1,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,JCG0316,0,0,0,0,0,0,1,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0
HCM0267,0,0,0,0,0,0,10,10,10,5,5,5,9,9,9,4,4,4,0,0,0,0,0,0,HCM0267,0,0,0,0,0,0,10,10,10,5,5,5,9,9,9,4,4,4,0,0,0,0,0,0,HCM0267,0,0,0,0,0,0,27,27,27,9,9,9,27,27,27,9,9,9,0,0,0,0,0,0,HCM0267,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HCM0267,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
MTB0620,0,0,0,0,0,0,4,4,2,1,1,0,4,4,4,2,2,2,0,0,0,0,0,0,MTB0620,0,0,0,0,0,0,4,4,2,1,1,0,5,5,5,2,2,2,0,0,0,0,0,0,MTB0620,0,0,0,0,0,0,13,13,9,1,1,0,13,13,13,2,2,2,0,0,0,0,0,0,MTB0620,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,MTB0620,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
CAM0681,0,0,0,0,0,0,3,3,0,1,1,0,3,3,0,1,1,0,2,2,1,1,1,0,CAM0681,0,0,0,0,0,0,3,3,0,1,1,0,3,3,0,1,1,0,2,2,1,1,1,0,CAM0681,0,0,0,0,0,0,9,9,1,2,2,1,10,10,0,1,1,0,7,7,7,1,1,1,CAM0681,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,CAM0681,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0
LBH0942,0,0,0,0,0,0,9,9,9,4,4,4,9,9,9,4,4,4,0,0,0,0,0,0,LBH0942,0,0,0,0,0,0,9,9,9,4,4,4,9,9,9,4,4,4,0,0,0,0,0,0,LBH0942,0,0,0,0,0,0,27,27,27,7,7,7,27,27,27,11,11,11,0,0,0,0,0,0,LBH0942,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,LBH0942,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1
MTT0901,0,0,0,0,0,0,2,2,2,1,1,1,5,5,5,2,2,2,1,1,1,1,1,1,MTT0901,0,0,0,0,0,0,2,2,2,1,1,1,5,5,5,2,2,2,1,1,1,1,1,1,MTT0901,0,0,0,0,0,0,8,8,8,1,1,1,15,15,15,4,4,4,2,2,2,2,2,2,MTT0901,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,MTT0901,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0
NDM0417,0,0,0,0,0,0,4,4,1,1,1,0,5,5,2,1,1,0,1,1,0,1,1,0,NDM0417,0,0,0,0,0,0,4,4,1,1,1,0,5,5,2,1,1,0,1,1,0,1,1,0,NDM0417,0,0,0,0,0,0,10,10,2,1,1,0,12,12,2,1,1,0,0,0,0,0,0,0,NDM0417,0,0,0,0,0,0,3,1,1,1,0,0,2,2,0,1,1,0,0,0,1,0,0,1,NDM0417,0,0,0,0,0,0,1,1,0,1,1,0,2,1,1,1,0,0,2,1,1,1,0,0
HCV0478,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HCV0478,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HCV0478,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HCV0478,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,HCV0478,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
JJM0203,0,0,0,0,0,0,4,4,2,1,1,0.5,5,5,2.5,1,1,0.5,0,0,0,0,0,0,JJM0203,0,0,0,0,0,0,4,4,2,1,1,0.5,5,5,2.5,1,1,0.5,0,0,0,0,0,0,JJM0203,0,0,0,0,0,0,6,6,3,1,1,0.5,7,7,3.5,1,1,0.5,0,0,0,0,0,0,JJM0203,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,JJM0203,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0
AIM0627,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,AIM0627,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,AIM0627,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,AIM0627,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,AIM0627,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
TDJ0998,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,TDJ0998,0,0,0,0,0,0,0,0,1.5,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,TDJ0998,0,0,0,0,0,0,0,0,6.5,0,0,1,0,0,7.5,0,0,1,0,0,0,0,0,0,TDJ0998,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0.5,1,0,0,0,0,1,0,0,1,TDJ0998,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0
EHR0096,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,EHR0096,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,EHR0096,0,0,0,0,0,0,0,0,8,0,0,1,0,0,10,0,0,1,0,0,0,0,0,0,EHR0096,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,1,0,0,1,0,0,1,EHR0096,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1
EAH0466,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,EAH0466,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,EAH0466,0,0,0,0,0,0,27,27,27,27,27,27,27,27,27,27,27,27,0,0,0,0,0,0,EAH0466,0,0,0,0,0,0,2,1,0,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,EAH0466,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0
CTA0020,0,0,0,0,0,0,9,9,9,3,3,3,9,9,9,5,5,5,4,4,4,1,1,1,CTA0020,0,0,0,0,0,0,9,9,9,3,3,3,9,9,9,5,5,5,4,4,4,1,1,1,CTA0020,0,0,0,0,0,0,5,5,5,1,1,1,9,9,9,2,2,2,4,4,4,1,1,1,CTA0020,0,0,0,0,0,0,3,2,1,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,CTA0020,0,0,0,0,0,0,1,1,0,1,1,0,2,1,1,1,0,0,1,0,0,1,0,0
HKB0418,0,0,0,0,0,0,0,0,1.5,0,0,1,0,0,1.5,0,0,0.5,0,0,0,0,0,0,HKB0418,0,0,0,0,0,0,0,0,1.5,0,0,1,0,0,1.5,0,0,0.5,0,0,0,0,0,0,HKB0418,0,0,0,0,0,0,0,0,3.5,0,0,0.5,0,0,4,0,0,0.5,0,0,0,0,0,0,HKB0418,0,0,0,0,0,0,1,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HKB0418,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
CCM0855,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CCM0855,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CCM0855,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CCM0855,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,CCM0855,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
LBC0356,0,0,1,0,0,0.25,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,0,0,2.5,0,0,1,LBC0356,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,0,0,0.75,0,0,0.25,0,0,2.5,0,0,1,LBC0356,0,0,4,0,0,0.25,0,0,3.5,0,0,0.25,0,0,3,0,0,0.25,0,0,6.5,0,0,2.25,LBC0356,4,0,1,1,0,0,5,1,0,1,0,0,3,0,0,1,0,0,5,0,0,1,0,0,LBC0356,4,0,1,1,0,0,4,1,0.75,1,0,0,3,0,1,1,0,0,5,0,0,1,0,0
CKH0144,0,0,0,0,0,0,0,0,2,0,0,0.5,0,0,2.5,0,0,0.5,0,0,0,0,0,0,CKH0144,0,0,0,0,0,0,0,0,2,0,0,0.5,0,0,2.5,0,0,0.5,0,0,0,0,0,0,CKH0144,0,0,0,0,0,0,0,0,3,0,0,0.5,0,0,3.5,0,0,0.5,0,0,0,0,0,0,CKH0144,0,0,0,0,0,0,1,2,2,1,0,0,0,2,2,0,1,1,0,0,0,0,0,0,CKH0144,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
ATF0274,0,0,0,0,0,0,0,2,5.5,0,1,1,0,2,4.5,0,1,1.5,0,0,0,0,0,0,ATF0274,0,0,0,0,0,0,0,2,5.5,0,1,1,0,2,5,0,1,1.5,0,0,0,0,0,0,ATF0274,0,0,0,0,0,0,0,5,13,0,1,2.5,0,7,12,0,1,1,0,0,0,0,0,0,ATF0274,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,ATF0274,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.5,0,0,0.5
ACC0042,0,0,1,0,0,0.25,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,0,0,2.5,0,0,1,ACC0042,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,0,0,0.75,0,0,0.25,0,0,2.5,0,0,1,ACC0042,0,0,4,0,0,0.25,0,0,3.5,0,0,0.25,0,0,3,0,0,0.25,0,0,6.5,0,0,2.25,ACC0042,5,1,0,1,0,0,4,0,1,1,0,0,3,0,0,1,0,0,5,0,0,1,0,0,ACC0042,5,1,0,1,0,0,3,0,0.25,1,0,0,4,1,0,1,0,0,5,0,0,1,0,0
KPR0497,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,KPR0497,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,KPR0497,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,KPR0497,0,0,0,0,0,0,3,2,1,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,KPR0497,0,0,0,0,0,0,1,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0
CKB0482,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CKB0482,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CKB0482,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CKB0482,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,CKB0482,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
SGG0787,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,SGG0787,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,SGG0787,0,0,0,0,0,0,0,0,6.75,0,0,1,0,0,7,0,0,1,0,0,0,0,0,0,SGG0787,0,0,0,0,0,0,2,1,0.25,1,0,0,1,0.5,0.25,1,0.5,0,0,0,0,0,0,0,SGG0787,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1.25,0,1,1,1,1,0,1,1,0
WDO0870,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,WDO0870,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,WDO0870,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,WDO0870,1,1,1,1,1,1,2,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,WDO0870,1,1,1,1,1,1,1,1,0,1,1,0,2,1,0,1,0,0,1,1,1,1,1,1
VCY0751,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,VCY0751,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,VCY0751,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,VCY0751,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,VCY0751,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
BAJ0654,0,0,0,0,0,0,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,BAJ0654,0,0,0,0,0,0,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,BAJ0654,0,0,0,0,0,0,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,BAJ0654,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,BAJ0654,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,2,1,1,1,0,0
